City_ID,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
139,Tutoia,47,BR,1579151582,96,-2.76,-42.27,73.74,2.59
140,Jingdezhen,99,CN,1579151582,91,29.29,117.21,40.75,4.7
141,Arvin,1,US,1579151582,48,35.21,-118.83,46.0,4.7
142,Lesnoy,100,RU,1579151582,86,57.62,63.08,25.36,11.88
143,Tawao,75,MY,1579151582,66,4.25,117.89,91.4,3.36
144,Salalah,69,OM,1579151431,45,17.02,54.09,64.4,21.92
145,Fraga,17,ES,1579151583,86,41.52,0.35,33.01,1.12
146,Acapulco de Juarez,40,MX,1579151583,88,16.86,-99.89,80.6,2.24
147,Ribeira Grande,63,PT,1579151583,66,38.52,-28.7,52.12,18.45
148,Pangnirtung,60,CA,1579151583,75,66.15,-65.71,-25.87,5.17
149,Faya,0,SA,1579151583,35,18.39,42.45,44.6,3.94
150,Bintulu,75,MY,1579151583,83,3.17,113.03,84.2,3.36
151,Namatanai,96,PG,1579151583,74,-3.67,152.43,84.2,14.18
152,Usinsk,100,RU,1579151583,97,65.99,57.53,30.18,13.38
153,Cap-aux-Meules,100,CA,1579151582,91,47.38,-61.86,25.92,7.56
154,Narsaq,100,GL,1579151584,31,60.92,-46.05,17.6,11.41
155,Tuktoyaktuk,90,CA,1579151584,84,69.45,-133.04,3.2,24.16
156,Tuatapere,29,NZ,1579151584,78,-46.13,167.68,57.72,5.03
157,Yulara,47,AU,1579151584,10,-25.24,130.99,102.2,12.75
158,Burnie,30,AU,1579151584,51,-41.07,145.92,70.0,23.0
159,Storforshei,100,NO,1579151584,90,66.4,14.52,30.99,1.99
160,Kahului,40,US,1579151585,61,20.89,-156.47,77.0,18.34
161,Borzya,77,RU,1579151585,90,50.38,116.52,-1.84,1.59
162,Castanos,100,MX,1579151585,84,26.78,-101.42,67.1,2.91
163,Ambilobe,84,MG,1579151585,73,-13.2,49.05,84.13,3.36
